Лилия Биколор Микс (аз.), 12/14, - 3шт;0;;;;13519;Лилия;Биколор Микс;3шт;12/14;.;LYL2013519;;;;;;;;;;;;;;;;;;;;;;;;13519;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920565;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Биколор Микс (аз.), 12/14, - 3шт;0;;;;13519;Лилия;Биколор Микс;3шт;12/14;.;LYL2013519;;;;;;;;;;;;;;;;;;;;;;;;13519;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109972533;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Бамблби (аз.), 12/14, - 3шт;0;;;;7058;Лилия;Бамблби;3шт;12/14;.;LYL2007058;;;;;;;;;;;;;;;;;;;;;;;;7058;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947029;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Чоколейт Евент (аз.), 12/14, - 3шт;0;;;;9392;Лилия;Чоколейт Евент;3шт;12/14;.;LYL2009392;;;;;;;;;;;;;;;;;;;;;;;;9392;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109989463;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Изи Спот (аз.), 12/14, - 5шт;0;;;;9391;Лилия;Изи Спот;5шт;12/14;.;LYL2009391;;;;;;;;;;;;;;;;;;;;;;;;9391;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109981795;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Голден Стоун (аз.), 14/16, - 5шт;0;;;;3633;Лилия;Голден Стоун;5шт;14/16;.;LYL2003633;;;;;;;;;;;;;;;;;;;;;;;;3633;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109970997;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Лемон Стардаст (аз.), 12/14, - 5шт;0;;;;7029;Лилия;Лемон Стардаст;5шт;12/14;.;LYL2007029;;;;;;;;;;;;;;;;;;;;;;;;7029;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109946732;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Лайон Харт (аз.), 12/14, - 3шт;0;;;;151;Лилия;Лайон Харт;3шт;12/14;.;LYL2000151;;;;;;;;;;;;;;;;;;;;;;;;151;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109979389;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Париж Харт (аз.), 12/14, - 3шт;0;;;;6378;Лилия;Париж Харт;3шт;12/14;.;LYL2006378;;;;;;;;;;;;;;;;;;;;;;;;6378;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931936;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Пинк Браш (ЛА), 10/12, - 10шт;0;;;;1447;Лилия;Пинк Браш;10шт;10/12;.;LYL2001447;;;;;;;;;;;;;;;;;;;;;;;;1447;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109964538;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Пурпл Ай (аз.), 12/14, - 3шт;0;;;;3659;Лилия;Пурпл Ай;3шт;12/14;.;LYL2003659;;;;;;;;;;;;;;;;;;;;;;;;3659;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109971017;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Стракьятелла Евент (аз.), 12/14, - 3шт;0;;;;9394;Лилия;Стракьятелла Евент;3шт;12/14;.;LYL2009394;;;;;;;;;;;;;;;;;;;;;;;;9394;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109989487;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Строберри Евент (аз.), 12/14, - 3шт;0;;;;9393;Лилия;Строберри Евент;3шт;12/14;.;LYL2009393;;;;;;;;;;;;;;;;;;;;;;;;9393;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109954201;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Уистлер (аз.), 12/14, - 3шт;0;;;;4322;Лилия;Уистлер;3шт;12/14;.;LYL2004322;;;;;;;;;;;;;;;;;;;;;;;;4322;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109987438;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Уайт Браш (ЛА), 10/12;0;;;;191;Лилия;Уайт Браш;7шт;10/12;.;АЛЛ0000191;;;;;;;;;;;;;;;;;;;;;;;;191;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109964163;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
