Тюльпан Аафке, пр.ранн., 11/12, - 10шт;0;;;;Тюльпан Аафке, пр.ранн., 11/12, - 10шт;11718;Тюльпан;Аафке;10шт;11/12;.;LKV2011718;4607109923412;;;;;;;;;;;;;;;;;;;;;;;11718;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109923412;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Абба, махр.ранн., 11/12, - 10шт;0;;;;Тюльпан Абба, махр.ранн., 11/12, - 10шт;1334;Тюльпан;Абба;10шт;11/12;.;LKV2001334;4607109962626;;;;;;;;;;;;;;;;;;;;;;;1334;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962626;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Абба Флэйм, махр.ранн., 12/+, - 7шт;0;;;;Тюльпан Абба Флэйм, махр.ранн., 12/+, - 7шт;1401;Тюльпан;Абба Флэйм;7шт;12/+;.;LKV2001401;4607109950227;;;;;;;;;;;;;;;;;;;;;;;1401;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950227;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Абигайл, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Абигайл, махр.поздн, 11/12, - 10шт;2391;Тюльпан;Абигайл;10шт;11/12;.;LKV2002391;4607109966549;;;;;;;;;;;;;;;;;;;;;;;2391;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109966549;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Адоре, 2й эффект, 11/12, - 7шт;0;;;;Тюльпан Адоре, 2й эффект, 11/12, - 7шт;1433;Тюльпан;Адоре;7шт;11/12;.;LKV2001433;4607109985335;;;;;;;;;;;;;;;;;;;;;;;1433;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109985335;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Эффэер, триумф, 11/12, - 10шт;0;;;;Тюльпан Эффэер, триумф, 11/12, - 10шт;6662;Тюльпан;Эффэер;10шт;11/12;.;LKV2006662;4607109943069;;;;;;;;;;;;;;;;;;;;;;;6662;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109943069;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Акебоно, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Акебоно, махр.поздн, 11/12, - 10шт;2609;Тюльпан;Акебоно;10шт;11/12;.;LKV2002609;4607109956359;;;;;;;;;;;;;;;;;;;;;;;2609;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109956359;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Акита, лил., 11/12, - 10шт;0;;;;Тюльпан Акита, лил., 11/12, - 10шт;3242;Тюльпан;Акита;10шт;11/12;.;LKV2003242;4607109951446;;;;;;;;;;;;;;;;;;;;;;;3242;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951446;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Аладдин, лил., 11/12, - 10шт;0;;;;Тюльпан Аладдин, лил., 11/12, - 10шт;1352;Тюльпан;Аладдин;10шт;11/12;.;LKV2001352;4607109962640;;;;;;;;;;;;;;;;;;;;;;;1352;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962640;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Альбион Стар, мнгцв., 11/12, - 10шт;0;;;;Тюльпан Альбион Стар, мнгцв., 11/12, - 10шт;3247;Тюльпан;Альбион Стар;10шт;11/12;.;LKV2003247;4607109951217;;;;;;;;;;;;;;;;;;;;;;;3247;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951217;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Александра, 2й эффект, 11/12, - 10шт;0;;;;Тюльпан Александра, 2й эффект, 11/12, - 10шт;3244;Тюльпан;Александра;10шт;11/12;.;LKV2003244;4607109951965;;;;;;;;;;;;;;;;;;;;;;;3244;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951965;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Алгарве, дарв., 11/12, - 10шт;0;;;;Тюльпан Алгарве, дарв., 11/12, - 10шт;11696;Тюльпан;Алгарве;10шт;11/12;.;LKV2011696;4607109923634;;;;;;;;;;;;;;;;;;;;;;;11696;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109923634;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Алгарве, дарв., 14/+, - 10шт;0;;;;Тюльпан Алгарве, дарв., 14/+, - 10шт;11697;Тюльпан;Алгарве;10шт;14/+;БИГСАЙЗ;LKV2011697;4607109923627;;;;;;;;;;;;;;;;;;;;;;;11697;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109923627;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Али Баба, грейга, 11/12, - 10шт;0;;;;Тюльпан Али Баба, грейга, 11/12, - 10шт;3245;Тюльпан;Али Баба;10шт;11/12;.;LKV2003245;4607109950210;;;;;;;;;;;;;;;;;;;;;;;3245;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109950210;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Алиби, триумф, 11/12, - 10шт;0;;;;Тюльпан Алиби, триумф, 11/12, - 10шт;6038;Тюльпан;Алиби;10шт;11/12;.;LKV2006038;4607109931066;;;;;;;;;;;;;;;;;;;;;;;6038;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931066;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Аликанте, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Аликанте, махр.поздн, 11/12, - 10шт;6021;Тюльпан;Аликанте;10шт;11/12;.;LKV2006021;4607109967676;;;;;;;;;;;;;;;;;;;;;;;6021;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109967676;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
